TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-07-04 02:38:23,1783132703612,seoforge.online/dashboard/runs,GET,_rsc=lajEsLlWVFMzXoyZ,200,4zgt9-1783132703612-ff2f064fca7d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,160,bom1,278,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJW0ZXPCWNNQRBVDM2QQ,or07WmqDVign,1,,
2026-07-04 02:38:23,1783132703612,seoforge.online/dashboard/runs,GET,_rsc=lajEsLlWVFMzXoyZ,200,4zgt9-1783132703612-ff2f064fca7d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/runs.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,8,iad1,324,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVKA5MDY2JRT8X2Y2QZ84,jyiycTDWPZOb,1,,
2026-07-04 02:38:23,1783132703611,seoforge.online/dashboard/findings,GET,_rsc=lajEsLlWVFMzXoyZ,200,xt2z6-1783132703611-9abecadec4ad,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,163,bom1,279,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJW0FQC9DX2FB0Q8MWX3,G4D089va5U45,1,,
2026-07-04 02:38:23,1783132703611,seoforge.online/dashboard/findings,GET,_rsc=lajEsLlWVFMzXoyZ,200,xt2z6-1783132703611-9abecadec4ad,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/findings.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,7,iad1,324,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVK4J8X3ARZXZVHPP1YAK,jyiycTDWPZOb,1,,
2026-07-04 02:38:23,1783132703134,seoforge.online/dashboard/proposals,GET,_rsc=lajEsLlWVFMzXoyZ,200,vjnzr-1783132703134-16dd228ceb01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,165,bom1,283,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJD292H4GF24ACPVX5SQ,dfktfljAOSMr,1,,
2026-07-04 02:38:23,1783132703134,seoforge.online/dashboard/proposals,GET,_rsc=lajEsLlWVFMzXoyZ,200,vjnzr-1783132703134-16dd228ceb01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/proposals.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,8,iad1,324,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJVBZE2S6WZ8BJY9N2M0,jyiycTDWPZOb,1,,
2026-07-04 02:38:23,1783132703133,seoforge.online/dashboard/experiments,GET,_rsc=lajEsLlWVFMzXoyZ,200,fhb9p-1783132703133-2e2204dfad06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,161,bom1,286,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJD02J3EFWHE1VZ9F78M,w6laqoqu385Y,1,,
2026-07-04 02:38:23,1783132703133,seoforge.online/dashboard/experiments,GET,_rsc=lajEsLlWVFMzXoyZ,200,fhb9p-1783132703133-2e2204dfad06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/experiments.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,8,iad1,365,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJV4N1980THQX469ERGN,DeAUtWUQw1Hb,1,,
2026-07-04 02:38:23,1783132703132,seoforge.online/dashboard/content,GET,_rsc=lajEsLlWVFMzXoyZ,200,4zgt9-1783132703132-23f2bbfb24bb,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,170,bom1,279,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJD0GBNFK35Q3KMSNS74,G4D089va5U45,1,,
2026-07-04 02:38:23,1783132703132,seoforge.online/dashboard/content,GET,_rsc=lajEsLlWVFMzXoyZ,200,4zgt9-1783132703132-23f2bbfb24bb,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/content.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,9,iad1,324,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJNM06QPHQ24V0SFDTTM,jyiycTDWPZOb,1,,
